,2024-06-01,2024-06-02,2024-06-03,2024-06-04,2024-06-05,2024-06-06,2024-06-07,2024-06-08,2024-06-09,2024-06-10,2024-06-11,2024-06-12,2024-06-13,2024-06-14,2024-06-15,2024-06-16,2024-06-17,2024-06-18,2024-06-19,2024-06-20,2024-06-21,2024-06-22,2024-06-23,2024-06-24,2024-06-25,2024-06-26,2024-06-27,2024-06-28,2024-06-29,2024-06-30,2024-07-01,2024-07-02,2024-07-03,2024-07-04,2024-07-05,2024-07-06,2024-07-07,2024-07-08,2024-07-09,2024-07-10,2024-07-11,2024-07-12,2024-07-13,2024-07-14,2024-07-15,2024-07-16,2024-07-17,2024-07-18,2024-07-19,2024-07-20,2024-07-21,2024-07-22,2024-07-23,2024-07-24,2024-07-25,2024-07-26,2024-07-27,2024-07-28,2024-07-29,2024-07-30,2024-07-31,2024-08-01,2024-08-02,2024-08-03,2024-08-04,2024-08-05,2024-08-06,2024-08-07,2024-08-08,2024-08-09,2024-08-10,2024-08-11,2024-08-12,2024-08-13,2024-08-14,2024-08-15,2024-08-16,2024-08-17,2024-08-18,2024-08-19,2024-08-20,2024-08-21,2024-08-22,2024-08-23,2024-08-24,2024-08-25,2024-08-26,2024-08-27,2024-08-28,2024-08-29
Chalet Les Méandres (ex Tupilak),25,25,22,18,24,20,11,17,21,21,18,20,17,20,12,21,22,23,19,14,19,2,17,17,21,14,14,20,2,21,12,15,17,15,9,7,21,13,21,15,12,20,21,19,18,18,20,20,22,14,29,17,15,20,27,26,19,20,22,25,25,17,27,18,22,23,22,19,24,21,1,21,20,19,20,18,19,18,15,22,16,25,9,25,23,21,22,21,5,11
Gîte Michel Fagot,0,0,0,0,0,0,0,16,10,6,12,15,14,14,6,23,10,9,16,22,7,7,9,0,0,30,7,10,0,16,16,18,10,9,21,0,1,1,22,16,11,19,0,27,9,17,19,0,18,2,18,12,6,2,1,8,3,18,14,19,25,6,0,0,9,5,2,12,23,1,1,15,14,2,0,16,17,21,16,16,26,20,28,30,20,21,27,19,11,8
Refuge du Fioux,5,17,20,20,14,10,18,4,13,7,1,13,13,3,6,0,0,8,8,0,18,5,8,1,1,14,13,0,0,4,5,10,7,11,16,3,15,0,4,12,18,14,0,0,3,11,16,14,0,17,0,17,12,0,16,18,5,4,6,5,13,1,10,3,2,0,4,14,7,11,2,4,0,8,2,9,19,16,16,0,5,7,10,4,3,0,2,14,15,10
Auberge du Truc,0,0,0,0,0,0,0,0,8,4,13,1,6,5,4,1,0,0,0,8,7,0,0,0,1,0,0,0,0,0,11,0,11,0,0,1,1,0,0,3,2,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,12,1,4,0,2,1,0,0,0,0,0,0,1,1,1,2,1,0,6,0,0,2,0,0,0,1,0,0,0,0,8
La Ferme à Piron,0,0,0,6,13,12,14,1,5,7,8,5,12,1,0,3,11,4,8,9,0,0,0,0,0,11,6,0,0,0,2,1,3,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,6,4,0,3,2,1,1,0,0,0,0,12,12,12,0,0,0,11,8,1,10,6,1,0,0,1,4,4,5,12,14,11,0,0
Gîte les Mélèzes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,6,0,0,0
Gîte le Pontet,57,54,53,58,63,52,30,43,30,31,42,50,23,30,1,14,0,27,35,25,0,3,0,6,0,6,0,0,8,0,0,19,11,6,0,2,0,0,0,37,12,0,14,3,0,0,21,0,3,0,0,0,24,22,7,0,10,0,4,40,47,9,18,1,0,2,23,2,8,9,0,0,7,46,43,6,0,17,4,3,32,54,14,8,34,7,28,51,54,38
Refuge de Nant Borrant,0,0,0,0,0,8,10,7,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0
Refuge des Prés,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,2,0,2,0,2,9,13
Refuge de la Balme,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,3,0,2,0,0,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,2,1,11,4,0,5,1
