,2024-06-01,2024-06-02,2024-06-03,2024-06-04,2024-06-05,2024-06-06,2024-06-07,2024-06-08,2024-06-09,2024-06-10,2024-06-11,2024-06-12,2024-06-13,2024-06-14,2024-06-15,2024-06-16,2024-06-17,2024-06-18,2024-06-19,2024-06-20,2024-06-21,2024-06-22,2024-06-23,2024-06-24,2024-06-25,2024-06-26,2024-06-27,2024-06-28,2024-06-29,2024-06-30,2024-07-01,2024-07-02,2024-07-03,2024-07-04,2024-07-05,2024-07-06,2024-07-07,2024-07-08,2024-07-09,2024-07-10,2024-07-11,2024-07-12,2024-07-13,2024-07-14,2024-07-15,2024-07-16,2024-07-17,2024-07-18,2024-07-19,2024-07-20,2024-07-21,2024-07-22,2024-07-23,2024-07-24,2024-07-25,2024-07-26,2024-07-27,2024-07-28,2024-07-29,2024-07-30,2024-07-31,2024-08-01,2024-08-02,2024-08-03,2024-08-04,2024-08-05,2024-08-06,2024-08-07,2024-08-08,2024-08-09,2024-08-10,2024-08-11,2024-08-12,2024-08-13,2024-08-14,2024-08-15,2024-08-16,2024-08-17,2024-08-18,2024-08-19,2024-08-20,2024-08-21,2024-08-22,2024-08-23,2024-08-24,2024-08-25,2024-08-26,2024-08-27,2024-08-28,2024-08-29
Chalet Les Méandres (ex Tupilak),25,25,22,18,24,20,11,17,21,21,18,20,17,20,21,21,22,23,19,14,19,2,17,17,21,14,14,20,4,21,12,15,17,15,9,7,21,13,21,15,12,20,21,19,18,18,20,20,22,14,29,17,15,20,27,26,19,20,22,25,25,17,27,18,22,23,22,19,24,21,1,21,20,19,20,18,19,18,15,22,16,25,10,25,23,21,22,21,5,11
Gîte Michel Fagot,0,0,0,0,0,0,0,16,10,6,12,15,14,14,6,23,10,9,16,22,7,7,9,0,0,30,7,10,0,16,16,18,10,10,21,0,1,1,22,16,11,19,0,27,9,17,19,0,18,2,18,12,6,2,1,8,3,18,17,19,25,6,0,0,13,9,6,16,27,1,1,15,14,2,0,16,17,21,16,16,26,20,28,30,20,21,27,19,11,8
Refuge du Fioux,5,17,20,20,14,12,18,6,13,7,1,13,13,3,6,0,0,8,8,0,18,5,8,1,1,14,13,0,0,0,5,10,8,11,16,3,15,0,4,12,18,14,0,0,3,11,16,14,0,17,0,17,12,0,16,18,5,4,6,5,13,1,10,3,2,0,4,14,7,14,2,1,0,8,3,9,19,16,16,0,5,7,10,4,3,0,2,14,15,10
Auberge du Truc,0,0,0,0,0,0,0,0,10,4,13,1,6,5,4,1,0,0,0,8,7,0,0,0,1,0,0,0,0,0,11,0,11,0,0,1,1,0,0,3,2,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,12,1,4,0,2,1,0,0,0,0,0,0,1,1,1,2,1,0,6,0,0,2,0,0,0,1,0,0,0,0,8
La Ferme à Piron,0,0,0,6,13,12,14,1,5,7,8,5,12,3,0,3,11,4,10,9,0,0,0,0,0,11,8,0,0,0,2,0,3,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,6,4,0,3,2,1,1,0,0,0,0,12,12,12,0,0,0,11,8,1,10,6,1,0,0,1,4,4,5,12,14,11,0,0
Gîte les Mélèzes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,6,0,0,0
Gîte le Pontet,57,54,53,60,63,52,30,43,30,31,42,50,30,30,0,14,0,27,35,25,0,3,0,6,0,6,0,0,11,0,0,20,11,6,0,2,0,0,0,37,12,0,14,3,0,0,21,0,3,0,0,0,24,22,7,0,10,0,4,40,47,9,18,1,0,2,23,2,10,9,0,0,7,48,43,6,0,17,4,5,32,54,14,8,34,7,31,51,54,38
Refuge de Nant Borrant,0,0,0,0,0,8,10,7,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0
Refuge des Prés,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,2,0,2,0,2,9,13
Refuge de la Balme,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,2,5,0,2,0,0,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,3,1,11,4,0,5,1
Auberge-Refuge de la Nova,0,0,0,0,0,0,34,4,31,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Les Chambres du Soleil,16,17,13,19,10,0,3,0,8,6,2,5,21,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refuge des Mottets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gîte Mermoud,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,9,9,6,10,3,1,10,6,10,0,5,0,0,8,8,0,3,0,0,0,2,3,2,5,0,0,0,7,4,6,1,6,5,0,3,0,3,4,0,3,7,0,9,8,0,4,0,0,0,0,5,10,1,0,9,5,2,1,7,8,7,0,4,6,7,3,8,10,0,0,0,0,0,0,0
Gîte d'Alpage Les Ecuries de Charamillon,0,0,0,0,0,0,0,0,17,19,19,9,13,8,28,4,10,13,4,10,3,8,11,0,9,10,11,1,9,0,0,8,6,8,0,0,0,8,6,10,0,0,10,0,13,14,10,10,6,8,12,5,10,8,10,6,2,10,11,6,13,8,9,12,10,10,16,12,1,5,13,5,1,8,11,8,10,13,7,10,10,12,8,9,5,10,10,5,13,9
Gîte Le Moulin,28,25,28,27,17,28,28,25,18,26,25,23,25,5,23,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,2,0,0
