,2024-06-01,2024-06-02,2024-06-03,2024-06-04,2024-06-05,2024-06-06,2024-06-07,2024-06-08,2024-06-09,2024-06-10,2024-06-11,2024-06-12,2024-06-13,2024-06-14,2024-06-15,2024-06-16,2024-06-17,2024-06-18,2024-06-19,2024-06-20,2024-06-21,2024-06-22,2024-06-23,2024-06-24,2024-06-25,2024-06-26,2024-06-27,2024-06-28,2024-06-29,2024-06-30,2024-07-01,2024-07-02,2024-07-03,2024-07-04,2024-07-05,2024-07-06,2024-07-07,2024-07-08,2024-07-09,2024-07-10,2024-07-11,2024-07-12,2024-07-13,2024-07-14,2024-07-15,2024-07-16,2024-07-17,2024-07-18,2024-07-19,2024-07-20,2024-07-21,2024-07-22,2024-07-23,2024-07-24,2024-07-25,2024-07-26,2024-07-27,2024-07-28,2024-07-29,2024-07-30,2024-07-31,2024-08-01,2024-08-02,2024-08-03,2024-08-04,2024-08-05,2024-08-06,2024-08-07,2024-08-08,2024-08-09,2024-08-10,2024-08-11,2024-08-12,2024-08-13,2024-08-14,2024-08-15,2024-08-16,2024-08-17,2024-08-18,2024-08-19,2024-08-20,2024-08-21,2024-08-22,2024-08-23,2024-08-24,2024-08-25,2024-08-26,2024-08-27,2024-08-28,2024-08-29
Chalet Les Méandres (ex Tupilak),25,25,22,18,24,20,11,19,21,21,18,20,21,21,23,21,22,23,19,15,21,5,17,21,21,15,20,20,5,21,16,15,18,20,13,8,22,17,21,18,12,22,24,19,18,18,20,20,22,14,29,17,15,20,27,26,19,20,22,25,25,20,27,18,22,23,22,19,24,21,5,21,20,19,20,18,21,23,15,22,16,27,12,27,25,21,24,21,5,11
Gîte Michel Fagot,0,0,0,0,0,0,0,0,9,10,11,17,16,15,5,27,14,11,16,21,9,7,9,1,6,30,9,16,0,15,16,21,10,11,21,0,11,1,22,16,11,20,0,27,11,18,18,0,18,2,21,15,8,5,2,12,4,18,20,19,25,7,0,1,19,9,16,16,29,12,2,19,15,1,1,21,17,22,16,16,26,19,28,30,21,22,25,24,14,10
Refuge du Fioux,5,20,20,20,14,12,20,8,13,7,1,13,15,6,6,0,0,8,8,9,18,6,8,4,1,15,14,0,0,0,5,12,8,11,16,3,15,2,8,12,20,16,0,0,6,7,16,14,2,17,0,17,12,0,16,18,5,4,6,6,17,3,12,3,2,2,4,14,11,14,2,1,3,12,7,16,19,16,16,0,5,7,12,4,3,0,4,16,18,13
Auberge du Truc,0,0,0,0,0,0,0,0,12,4,13,2,7,9,4,1,0,0,0,10,9,0,0,0,1,0,0,0,0,0,15,0,13,0,0,1,1,0,0,3,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,12,1,4,0,2,1,0,0,0,0,0,0,1,1,1,2,1,1,6,0,0,2,0,4,0,2,0,0,0,1,10
La Ferme à Piron,0,0,0,6,13,12,14,1,6,7,8,6,12,5,0,3,14,4,12,11,0,0,0,0,1,11,8,0,0,0,2,0,3,0,0,0,0,0,0,7,2,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,6,4,0,3,2,2,1,0,0,6,0,12,12,12,0,0,0,11,8,3,10,6,1,0,0,3,4,6,3,14,14,11,0,0
Gîte les Mélèzes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,1,0,0,1,0,0,0,0,0,0,1,0,6,0,0,1,0,0,2,0,0,6,0,0,0
Gîte le Pontet,64,54,57,60,64,54,32,44,44,37,51,53,31,30,3,18,0,32,41,25,0,4,3,0,2,7,4,0,1,0,0,30,17,10,0,3,0,0,2,42,16,0,1,4,0,3,21,1,4,14,0,0,32,24,9,0,10,0,8,40,48,15,23,2,1,1,23,12,24,10,0,0,9,48,49,5,0,21,7,5,32,59,16,8,43,9,35,51,56,38
Refuge de Nant Borrant,0,0,0,0,0,10,10,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,1,2,0,0,0,6,0,0,2,0,0,0,1,1,1,0,2,0,0,0,0,2
Refuge des Prés,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,9,0,0,0,0,0,0,5,3,0,4,4,10,0,6,9,13
Refuge de la Balme,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,6,0,2,0,0,0,2,9,0,2,0,10,3,0,0,0,0,0,0,10,0,0,0,4,8,4,1,0,0,1,0,6,7,18,5,7,11,0,10,1
