,2024-06-01,2024-06-02,2024-06-03,2024-06-04,2024-06-05,2024-06-06,2024-06-07,2024-06-08,2024-06-09,2024-06-10,2024-06-11,2024-06-12,2024-06-13,2024-06-14,2024-06-15,2024-06-16,2024-06-17,2024-06-18,2024-06-19,2024-06-20,2024-06-21,2024-06-22,2024-06-23,2024-06-24,2024-06-25,2024-06-26,2024-06-27,2024-06-28,2024-06-29,2024-06-30,2024-07-01,2024-07-02,2024-07-03,2024-07-04,2024-07-05,2024-07-06,2024-07-07,2024-07-08,2024-07-09,2024-07-10,2024-07-11,2024-07-12,2024-07-13,2024-07-14,2024-07-15,2024-07-16,2024-07-17,2024-07-18,2024-07-19,2024-07-20,2024-07-21,2024-07-22,2024-07-23,2024-07-24,2024-07-25,2024-07-26,2024-07-27,2024-07-28,2024-07-29,2024-07-30,2024-07-31,2024-08-01,2024-08-02,2024-08-03,2024-08-04,2024-08-05,2024-08-06,2024-08-07,2024-08-08,2024-08-09,2024-08-10,2024-08-11,2024-08-12,2024-08-13,2024-08-14,2024-08-15,2024-08-16,2024-08-17,2024-08-18,2024-08-19,2024-08-20,2024-08-21,2024-08-22,2024-08-23,2024-08-24,2024-08-25,2024-08-26,2024-08-27,2024-08-28,2024-08-29
Chalet Les Méandres (ex Tupilak),12,23,22,21,22,17,11,23,22,20,24,14,12,16,13,21,19,21,19,19,12,5,15,7,20,12,10,5,0,19,10,11,14,8,8,0,9,9,14,11,10,3,3,12,12,14,18,3,11,4,26,14,14,16,23,23,12,18,21,22,22,14,25,18,15,18,15,19,10,16,13,17,10,14,10,16,20,25,20,20,18,24,3,26,22,21,15,22,0,3
Gîte Michel Fagot,0,0,0,0,0,0,0,7,10,16,9,17,14,18,2,20,13,7,12,18,4,10,12,2,9,10,8,6,0,13,12,11,8,8,19,0,1,0,16,4,0,14,0,16,11,16,7,0,15,4,12,10,4,2,6,3,7,15,6,18,19,1,0,1,8,1,3,12,14,0,2,4,8,2,0,18,13,17,14,7,23,19,24,24,7,16,22,11,0,2
Refuge du Fioux,3,16,18,18,10,10,17,0,13,4,2,9,12,0,0,4,0,6,8,0,17,3,8,0,0,15,10,2,2,1,1,0,1,7,7,0,12,0,4,5,14,10,0,0,0,9,7,9,0,14,0,6,6,0,10,18,3,2,1,2,1,0,10,0,1,0,0,11,5,1,0,0,0,1,2,0,15,10,13,0,2,7,10,3,0,0,2,10,7,9
Auberge du Truc,0,0,0,0,0,0,0,0,5,4,13,0,0,1,0,0,0,0,0,3,2,0,6,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,3,3,2,0,7,5,0,0,2,0,0,0,3,1,0,2,3,0,1,0,0,0,4,3,2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Ferme à Piron,0,0,0,5,0,0,8,0,0,3,6,2,7,0,0,7,0,4,8,8,0,8,7,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,1,7,0,0,0,0,0,1,2,0,0,2,0,0,1,0,0,0,0,5,0,0,0,0,0,8,8,0,0,2,0,0,0,1,0,1,0,10,14,7,0,0
Gîte les Mélèzes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,3,0,4,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,2,6,0,0,0,0,2,0,0,0,3,0,0,0
Gîte le Pontet,45,42,46,56,58,51,4,31,27,27,32,43,36,19,0,8,3,12,30,10,0,0,0,0,0,6,6,0,0,0,0,0,3,1,1,0,4,0,12,31,13,0,3,1,0,1,7,6,0,1,0,0,4,0,1,3,5,6,0,44,36,8,0,1,6,1,14,5,0,0,26,0,1,37,35,9,4,11,0,1,20,50,3,3,18,5,18,43,44,27
Refuge de Nant Borrant,0,0,0,0,0,10,8,10,3,2,5,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,5,2,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,4,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0
Refuge des Prés,0,0,0,0,0,0,0,3,10,8,0,14,1,1,0,9,0,8,0,17,0,0,5,0,0,3,1,0,0,0,9,13,2,0,0,0,3,0,0,11,14,0,14,4,0,0,2,4,0,0,4,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refuge de la Balme,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,2,2,0,2,0,3,0,4,10,3,2,1,0,0,5,2,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2,0,0,1,1,4,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Auberge-Refuge de la Nova,0,0,0,0,0,0,21,8,9,5,8,1,4,1,0,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9,0,1,1,0,0,2,0,3,8,4,0,0,0,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,2,2,0,1,4,6,2,0,0,2
Les Chambres du Soleil,13,11,2,14,3,0,0,0,0,0,0,3,16,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refuge des Mottets,0,0,0,0,0,0,0,0,0,10,3,3,2,1,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gîte Mermoud,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,8,5,5,5,3,2,0,6,6,1,2,2,0,0,5,0,0,0,0,0,0,0,0,2,0,1,0,6,0,4,1,2,2,0,0,0,0,0,0,0,0,0,8,8,0,3,1,2,0,0,1,0,0,0,0,5,2,1,1,5,2,0,1,6,7,0,8,0,0,0,0,0,0,0,0
Gîte d'Alpage Les Ecuries de Charamillon,0,0,0,0,0,0,0,0,19,15,17,9,10,8,16,5,13,6,5,6,4,1,0,2,4,6,4,1,2,2,5,0,0,2,0,1,0,2,4,10,0,3,4,2,7,13,7,4,0,5,3,3,0,4,4,0,0,9,10,4,5,4,8,6,4,10,8,7,1,8,3,11,0,3,2,2,6,5,3,12,13,9,6,12,8,8,6,4,10,5
