,2024-06-01,2024-06-02,2024-06-03,2024-06-04,2024-06-05,2024-06-06,2024-06-07,2024-06-08,2024-06-09,2024-06-10,2024-06-11,2024-06-12,2024-06-13,2024-06-14,2024-06-15,2024-06-16,2024-06-17,2024-06-18,2024-06-19,2024-06-20,2024-06-21,2024-06-22,2024-06-23,2024-06-24,2024-06-25,2024-06-26,2024-06-27,2024-06-28,2024-06-29,2024-06-30,2024-07-01,2024-07-02,2024-07-03,2024-07-04,2024-07-05,2024-07-06,2024-07-07,2024-07-08,2024-07-09,2024-07-10,2024-07-11,2024-07-12,2024-07-13,2024-07-14,2024-07-15,2024-07-16,2024-07-17,2024-07-18,2024-07-19,2024-07-20,2024-07-21,2024-07-22,2024-07-23,2024-07-24,2024-07-25,2024-07-26,2024-07-27,2024-07-28,2024-07-29,2024-07-30,2024-07-31,2024-08-01,2024-08-02,2024-08-03,2024-08-04,2024-08-05,2024-08-06,2024-08-07,2024-08-08,2024-08-09,2024-08-10,2024-08-11,2024-08-12,2024-08-13,2024-08-14,2024-08-15,2024-08-16,2024-08-17,2024-08-18,2024-08-19,2024-08-20,2024-08-21,2024-08-22,2024-08-23,2024-08-24,2024-08-25,2024-08-26,2024-08-27,2024-08-28,2024-08-29
Chalet Les Méandres (ex Tupilak),12,23,22,21,22,17,11,23,22,20,24,14,12,16,13,21,19,21,19,19,12,5,15,7,20,12,10,5,0,19,10,11,14,8,8,3,6,7,12,8,5,2,0,10,11,11,15,4,10,10,26,13,14,13,23,20,17,17,19,22,22,10,25,15,15,16,15,19,10,14,12,17,10,10,9,15,16,25,20,20,18,24,2,26,19,17,15,22,0,1
Gîte Michel Fagot,0,0,0,0,0,0,0,7,10,16,9,17,14,18,2,20,13,7,12,18,4,10,12,2,9,10,8,6,0,13,12,11,8,8,19,0,2,0,14,5,0,8,0,17,9,16,6,0,13,5,13,10,2,1,6,6,7,15,6,17,18,1,0,0,8,1,3,12,9,0,0,4,6,2,0,18,13,17,14,7,23,19,24,24,8,16,22,11,0,2
Refuge du Fioux,3,16,18,18,10,10,17,0,13,4,2,9,12,0,0,4,0,6,8,0,17,3,8,0,0,15,10,2,2,1,1,0,1,9,9,0,12,2,4,3,14,8,0,0,0,9,7,8,0,14,0,6,2,0,8,18,2,0,1,2,1,0,7,0,0,0,0,10,5,1,0,0,0,1,1,0,15,8,13,0,0,7,9,3,0,0,1,10,3,9
Auberge du Truc,0,0,0,0,0,0,0,0,5,4,13,0,0,1,0,0,0,0,0,3,2,0,6,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Ferme à Piron,0,0,0,5,0,0,8,0,0,3,6,2,7,0,0,7,0,4,8,8,0,8,7,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,10,14,7,0,0
Gîte les Mélèzes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,3,0,2,1,2,0,5,2,4,2,0,2,2,0,0,0,1,4,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,6,0,0,0,0,2,0,0,0,3,0,0,0
Gîte le Pontet,45,42,46,56,58,51,4,31,27,27,32,43,36,19,0,8,3,12,30,10,0,0,0,0,0,6,6,0,0,0,0,0,3,0,1,10,1,0,12,30,12,0,0,0,0,4,4,0,0,1,0,0,1,0,1,3,3,6,8,43,36,6,0,0,6,1,13,1,0,0,26,0,7,37,33,9,4,6,0,0,20,46,3,3,18,3,18,43,46,19
Refuge de Nant Borrant,0,0,0,0,0,10,8,10,3,2,5,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,5,2,0,0,0,0,2,0,0,2,1,0,0,1,0,0,0,3,0,0,3,3,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0
Refuge des Prés,0,0,0,0,0,0,0,3,10,8,0,14,1,1,0,9,0,8,0,17,0,0,5,0,0,3,1,0,0,0,9,13,2,0,0,0,3,0,3,1,6,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refuge de la Balme,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,2,2,0,2,0,3,0,4,10,3,2,1,0,0,5,2,1,0,0,0,0,0,2,1,7,0,2,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,11,0,0
Auberge-Refuge de la Nova,0,0,0,0,0,0,21,8,9,5,8,1,4,1,0,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,6,0,0,1,2,0,0,0,0,6,0,0,7,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Les Chambres du Soleil,13,11,2,14,3,0,0,0,0,0,0,3,16,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0
Refuge des Mottets,0,0,0,0,0,0,0,0,0,10,3,3,2,1,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gîte Mermoud,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,8,5,5,5,3,2,0,6,6,1,2,2,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,6,0,4,1,2,2,0,0,0,0,0,0,0,0,0,6,6,0,2,0,2,0,0,1,0,0,0,0,5,1,1,1,5,1,0,0,6,7,0,8,0,0,0,0,0,0,0,0
Gîte d'Alpage Les Ecuries de Charamillon,0,0,0,0,0,0,0,0,19,15,17,9,10,8,16,5,13,6,5,6,4,1,0,2,4,6,4,1,2,2,5,0,0,2,1,3,0,0,6,1,5,0,4,3,7,8,7,2,0,0,3,2,0,2,4,0,0,8,8,3,4,2,8,5,2,9,8,7,11,8,3,11,2,4,1,2,4,5,3,12,6,8,6,6,6,8,6,2,8,5
Gîte Le Moulin,26,24,27,25,17,28,24,12,6,25,10,15,15,3,19,1,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,1,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Auberge la Boërne,0,1,29,29,27,29,22,19,31,24,3,23,7,1,2,6,6,2,4,3,1,3,3,0,0,1,2,2,0,1,1,0,0,9,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,1,1,0,3,1,0,2,0,4,0,0,0,0,0,0,0,1,1,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabane du Combal,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,4,0,0,2,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rifugio Maison Vieille,0,0,0,0,0,0,0,0,0,15,10,9,2,6,17,0,3,2,8,1,10,1,4,8,1,0,7,3,6,2,1,0,0,4,5,6,1,0,1,2,0,1,6,0,2,1,0,0,0,1,5,4,0,0,0,2,0,1,0,8,0,2,0,0,0,0,0,0,0,0,0,0,4,1,0,0,2,0,0,0,0,0,0,0,0,0,1,5,0,0
Gite le Randonneur du Mont Blanc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,8,0,0,0,2,5,3,5,0,0,0,5,0,5,0,0,0,0,0,3,7,0,0,0,2,0,0,26,0,0,0,0,5,8,12,0,4,6,5,2,1,7,0,2,2,0,0,0,5,5,5,0,0,0,5,0,0,0,0,1,5,4,12,0,1,5,5
Rifugio Monte Bianco CAI Uget,36,23,20,5,0,23,21,11,18,36,20,0,17,31,10,34,14,1,0,6,0,16,27,7,2,0,6,3,2,44,45,3,0,14,2,10,25,21,4,0,0,27,5,29,31,11,0,0,1,7,23,5,2,0,0,9,1,29,26,18,1,1,25,4,22,10,26,0,0,8,9,0,16,1,0,0,20,4,22,0,1,0,15,38,10,44,21,14,11,12
Rifugio G. Bertone,0,0,0,0,0,0,0,2,2,1,1,2,3,21,0,3,7,8,3,0,0,0,0,0,3,0,1,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,4,3,0,5,0,0,0,0,0,0,11,0,0,0,0,0,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hotel Funivia,0,0,0,0,0,0,0,8,0,0,12,8,0,0,0,0,0,8,4,4,4,0,4,4,4,0,0,0,4,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hôtel Lavachey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,3,0,0,0,0,1,0,3,0,0,0,4,0,0,2,0,5,0,2,0,0,0,0,3,6,4,6,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hotel Chalet Val Ferret,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,4,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,15,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gîte Alpage de La Peule,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0
Hotel du Col de Fenêtre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,11,0,0,0,4,3,0,0,0,0,3,0,0,0,0,0,3,0,0,2,0,1,0,0,0,1,1,0,0,0,0,0,10,22,6,8,4,8,0,20,13,22,11,0,0,0,1,0,0,0,0,0,0,4,4,4,0,4,0,9,0,10,11,4,0,0,2,7
Gîte La Léchère,0,0,0,20,0,14,2,18,16,19,5,1,20,17,0,8,8,1,0,0,1,9,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6,1,0,0,5,3,22,2,15,5,0,6,21,12,17,0,0,7,0,5,0,2,6,7,2,1,14,4,4,0,3,1,6,0,12,17,0,0,0,0,14
Chalet 'Le Dolent',0,0,0,0,0,21,27,0,0,28,26,20,22,0,0,0,22,9,18,0,24,0,0,5,12,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,21,0,0,0,0,0,0,0,0
Maya-Joie,0,0,0,0,25,36,0,26,32,20,16,0,0,6,32,17,0,0,0,0,7,15,11,3,0,0,0,13,17,4,0,0,0,0,0,1,5,0,0,5,0,11,11,9,0,0,0,0,15,18,17,0,0,0,0,26,22,11,12,0,1,0,3,28,4,0,0,0,0,15,20,8,0,0,0,0,27,19,1,0,0,0,0,13,10,0,0,0,20,0
Auberge des Glaciers,0,0,49,51,45,52,51,35,37,45,44,46,31,47,48,50,36,12,5,13,32,22,29,12,0,0,7,24,33,14,7,2,4,10,0,10,13,2,2,2,0,22,28,10,0,4,2,0,14,3,15,2,2,7,18,32,10,9,5,32,21,19,23,30,26,1,17,1,20,15,4,14,5,20,8,15,11,14,28,7,12,31,9,28,19,33,1,16,20,27
