,2025-06-01,2025-06-02,2025-06-03,2025-06-04,2025-06-05,2025-06-06,2025-06-07,2025-06-08,2025-06-09,2025-06-10,2025-06-11,2025-06-12,2025-06-13,2025-06-14,2025-06-15,2025-06-16,2025-06-17,2025-06-18,2025-06-19,2025-06-20,2025-06-21,2025-06-22,2025-06-23,2025-06-24,2025-06-25,2025-06-26,2025-06-27,2025-06-28,2025-06-29,2025-06-30,2025-07-01,2025-07-02,2025-07-03,2025-07-04,2025-07-05,2025-07-06,2025-07-07,2025-07-08,2025-07-09,2025-07-10,2025-07-11,2025-07-12,2025-07-13,2025-07-14,2025-07-15,2025-07-16,2025-07-17,2025-07-18,2025-07-19,2025-07-20,2025-07-21,2025-07-22,2025-07-23,2025-07-24,2025-07-25,2025-07-26,2025-07-27,2025-07-28,2025-07-29,2025-07-30,2025-07-31,2025-08-01,2025-08-02,2025-08-03,2025-08-04,2025-08-05,2025-08-06,2025-08-07,2025-08-08,2025-08-09,2025-08-10,2025-08-11,2025-08-12,2025-08-13,2025-08-14,2025-08-15,2025-08-16,2025-08-17,2025-08-18,2025-08-19,2025-08-20,2025-08-21,2025-08-22,2025-08-23,2025-08-24,2025-08-25,2025-08-26,2025-08-27,2025-08-28,2025-08-29,2025-08-30,2025-08-31,2025-09-01,2025-09-02,2025-09-03,2025-09-04,2025-09-05,2025-09-06,2025-09-07,2025-09-08,2025-09-09,2025-09-10,2025-09-11,2025-09-12,2025-09-13,2025-09-14,2025-09-15,2025-09-16,2025-09-17,2025-09-18,2025-09-19,2025-09-20,2025-09-21,2025-09-22,2025-09-23,2025-09-24,2025-09-25,2025-09-26,2025-09-27,2025-09-28
Chalet Les Méandres (ex Tupilak),30,30,30,30,30,30,30,30,28,30,26,29,26,19,28,19,30,24,30,28,18,17,24,30,0,0,0,0,0,0,32,30,31,33,27,19,27,28,31,27,33,16,24,33,34,25,31,35,19,29,25,28,26,26,33,35,35,32,35,32,35,35,35,33,35,32,33,31,33,29,29,31,32,33,33,30,23,28,35,29,31,30,30,28,33,33,29,27,29,29,24,32,24,35,31,35,33,31,23,25,24,30,35,35,32,34,29,33,35,30,33,35,31,35,35,35,35,35,35,35
Gîte Michel Fagot,0,0,0,0,0,0,22,19,27,27,25,23,24,26,20,14,14,24,17,23,21,21,14,23,15,6,6,18,15,15,13,24,15,20,16,12,6,19,11,12,21,18,23,16,17,17,24,23,14,19,15,19,26,22,7,14,20,17,20,23,18,24,17,13,16,26,14,25,20,15,24,18,14,16,26,17,19,21,22,20,16,25,23,20,24,22,21,14,23,20,19,26,15,11,25,25,27,19,27,23,23,21,27,21,26,16,25,25,27,31,27,25,27,27,26,27,27,27,0,0
Refuge du Fioux,22,22,22,20,20,20,20,22,22,19,20,22,15,9,4,11,19,16,19,2,7,11,15,3,16,0,21,7,6,20,2,15,15,20,0,20,21,15,18,9,19,8,2,16,13,6,14,14,20,0,20,14,15,20,19,3,3,19,16,16,16,22,3,22,19,21,22,14,19,0,0,20,20,20,10,20,18,22,15,17,17,16,16,0,3,20,22,15,15,17,9,18,19,22,20,18,20,6,4,20,22,8,18,15,0,7,20,22,22,22,22,15,0,0,0,0,0,0,0,0
Auberge du Truc,0,0,0,0,0,0,0,0,0,12,10,0,8,0,2,0,15,14,10,9,3,0,0,1,13,8,18,12,5,2,2,7,14,0,12,9,2,14,2,11,0,3,0,0,8,0,1,0,4,4,17,5,23,5,4,0,21,11,10,5,10,0,5,18,2,5,2,11,17,1,6,15,0,16,9,7,20,15,3,1,20,15,22,5,3,13,7,11,0,0,19,6,0,0,0,4,5,15,0,4,0,0,4,11,15,15,15,11,8,0,0,0,0,0,0,0,0,0,0,0
La Ferme à Piron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,10,12,12,0,0,7,14,0,8,9,0,3,6,0,0,0,0,0,2,1,1,2,4,6,0,1,0,0,5,0,1,2,0,3,6,12,12,6,0,0,0,12,6,12,3,2,0,9,12,11,2,1,0,2,2,12,12,12,5,0,5,2,11,12,10,8,0,0,14,0,14,12,0,2,4,4,0,0,14,2,0,0,14,12,8,4,10,0,8,11,14,14,14,14,8,8,10,10,10,0,0,0,0
Gîte les Mélèzes,0,0,0,0,0,0,0,0,0,0,0,7,10,1,0,2,3,0,0,1,0,4,1,2,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,6,0,2,6,2,5,0,4,0,1,1,0,4,0,6,0,1,7,3,4,2,0,0,0,4,2,3,0,0,0,0,0,0,2,4,0,0,8,5,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gîte le Pontet,72,72,67,72,68,60,43,54,54,72,62,61,19,40,17,25,56,50,48,27,23,10,17,64,17,36,31,27,0,3,0,27,28,4,11,0,13,28,35,50,16,10,4,0,57,33,4,0,0,9,2,2,52,41,62,19,7,20,66,19,28,30,6,8,7,32,45,18,43,22,13,14,59,33,46,36,25,5,33,53,53,37,23,18,39,19,59,40,56,29,31,35,15,35,11,30,45,14,6,24,70,54,56,48,57,38,45,70,72,48,63,72,72,70,72,71,72,72,72,72
Refuge de Nant Borrant,0,0,0,0,10,10,10,10,2,10,7,4,4,4,5,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,5,5,0,0,3,0,0,4,4,0,4,0,2,3,0,0,0,0,0,0,1,6,0,2,6,0,0,6,3,1,0,0,0,0,0,7,6,4,5,5,0,1,8,3,8,0,0,0,0,2,0,4,5,0,0,5,0,2,2,6,10,6,8,10,10,10,10,10,0,0,0,0,0,0,0
Refuge des Prés,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,11,5,16,5,1,4,12,10,8,1,1,1,0,0,5,1,3,0,2,4,0,0,0,0,1,0,0,0,6,5,4,6,7,12,6,8,14,4,0,3,10,2,4,15,9,11,6,6,4,9,10,10,11,7,4,12,16,13,12,7,3,7,8,2,13,2,7,2,8,9,12,16,12,2,0,13,6,4,12,1,16,10,9,9,14,0,7,14,0,12,11,9,16,13,8,8,16,16,16,16,16,16,16,16
Refuge de la Balme,0,0,0,0,0,0,0,0,0,0,0,0,15,15,5,5,12,31,24,17,4,0,6,2,10,2,0,1,0,1,1,1,4,0,16,3,4,0,0,0,0,0,2,10,16,0,8,5,0,12,4,4,7,1,9,7,3,1,13,9,15,6,5,17,7,4,7,14,2,24,1,3,8,26,23,3,27,1,7,18,8,11,13,15,18,4,12,26,32,0,2,26,4,20,1,20,26,26,0,25,14,19,21,6,14,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Auberge-Refuge de la Nova,0,0,0,0,0,33,59,54,14,27,45,27,10,44,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,12,29,33,49,47,48,47,61,60,31,0,0
Les Chambres du Soleil,26,28,29,20,0,14,14,16,24,14,21,14,0,6,14,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18,3,7,0,27,21,29,27,29,0,26,22,26
Refuge des Mottets,0,0,0,0,0,0,0,0,0,2,20,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,7,8,20,10,0,0,0,0,0,0,0,0
Gîte Mermoud,0,0,0,0,0,0,10,10,10,10,10,10,10,4,10,10,10,10,8,9,0,10,7,2,0,7,4,0,0,4,8,0,5,0,0,9,10,0,0,0,0,0,1,6,8,0,0,10,0,8,6,6,0,6,8,0,4,9,10,0,4,1,0,3,3,10,0,10,1,0,10,10,10,8,3,0,0,10,5,10,0,10,1,0,8,10,10,0,3,8,0,10,10,2,0,0,0,0,4,0,10,0,10,7,0,6,0,10,0,10,10,0,10,10,10,0,10,10,10,10
