,2025-06-01,2025-06-02,2025-06-03,2025-06-04,2025-06-05,2025-06-06,2025-06-07,2025-06-08,2025-06-09,2025-06-10,2025-06-11,2025-06-12,2025-06-13,2025-06-14,2025-06-15,2025-06-16,2025-06-17,2025-06-18,2025-06-19,2025-06-20,2025-06-21,2025-06-22,2025-06-23,2025-06-24,2025-06-25,2025-06-26,2025-06-27,2025-06-28,2025-06-29,2025-06-30,2025-07-01,2025-07-02,2025-07-03,2025-07-04,2025-07-05,2025-07-06,2025-07-07,2025-07-08,2025-07-09,2025-07-10,2025-07-11,2025-07-12,2025-07-13,2025-07-14,2025-07-15,2025-07-16,2025-07-17,2025-07-18,2025-07-19,2025-07-20,2025-07-21,2025-07-22,2025-07-23,2025-07-24,2025-07-25,2025-07-26,2025-07-27,2025-07-28,2025-07-29,2025-07-30,2025-07-31,2025-08-01,2025-08-02,2025-08-03,2025-08-04,2025-08-05,2025-08-06,2025-08-07,2025-08-08,2025-08-09,2025-08-10,2025-08-11,2025-08-12,2025-08-13,2025-08-14,2025-08-15,2025-08-16,2025-08-17,2025-08-18,2025-08-19,2025-08-20,2025-08-21,2025-08-22,2025-08-23,2025-08-24,2025-08-25,2025-08-26,2025-08-27,2025-08-28,2025-08-29,2025-08-30,2025-08-31,2025-09-01,2025-09-02,2025-09-03,2025-09-04,2025-09-05,2025-09-06,2025-09-07,2025-09-08,2025-09-09,2025-09-10,2025-09-11,2025-09-12,2025-09-13,2025-09-14,2025-09-15,2025-09-16,2025-09-17,2025-09-18,2025-09-19,2025-09-20,2025-09-21,2025-09-22,2025-09-23,2025-09-24,2025-09-25,2025-09-26,2025-09-27,2025-09-28
Chalet Les Méandres (ex Tupilak),30,30,30,30,30,30,30,30,30,30,30,29,26,19,28,21,30,24,30,28,22,19,30,30,0,0,0,0,0,0,32,33,31,35,27,25,29,28,35,32,33,30,24,35,34,31,31,35,34,31,27,28,26,27,35,35,35,32,35,33,35,35,35,33,35,35,35,33,33,29,29,31,32,35,35,32,30,28,35,30,33,30,31,28,33,33,29,29,29,29,28,35,29,35,35,35,33,35,30,27,25,35,35,35,35,35,31,35,35,30,33,35,35,35,35,35,35,35,35,35
Gîte Michel Fagot,0,0,0,0,0,0,22,25,27,27,25,25,24,26,25,20,16,25,20,27,22,21,22,23,17,1,13,21,22,12,19,27,17,23,19,16,6,25,14,18,25,18,22,15,19,19,24,25,16,23,27,23,27,23,23,22,27,18,20,25,18,24,27,19,18,27,19,25,22,18,27,20,23,15,26,25,22,21,27,24,17,27,27,22,24,22,23,21,23,20,20,26,19,18,25,25,27,21,27,27,23,25,27,24,26,16,27,25,27,27,27,25,27,27,27,27,27,27,0,0
Refuge du Fioux,22,22,22,22,20,20,21,22,22,21,20,22,16,9,4,12,19,16,19,12,7,11,22,20,16,5,21,7,7,20,2,15,15,22,0,20,21,15,18,13,22,9,2,18,15,6,18,16,20,10,20,14,15,22,19,3,3,19,16,14,16,22,3,22,21,21,22,16,19,0,0,20,22,22,10,20,18,22,21,17,19,17,18,0,3,22,22,20,18,17,9,18,19,22,22,18,20,6,4,20,22,8,18,15,0,7,22,22,22,22,22,22,0,0,0,0,0,0,0,0
Auberge du Truc,0,0,0,0,0,0,0,0,0,15,15,15,8,15,5,0,15,17,14,9,3,7,9,1,14,14,18,15,13,5,2,19,15,2,14,11,9,16,9,13,13,13,3,13,8,10,2,6,9,12,19,7,25,18,4,0,23,16,14,9,13,0,15,18,13,1,12,18,17,1,15,17,0,22,14,7,20,16,5,6,20,15,22,12,9,14,16,11,10,3,22,18,1,0,7,8,10,15,2,4,4,13,13,13,15,15,15,13,8,0,0,0,0,0,0,0,0,0,0,0
La Ferme à Piron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,14,12,12,0,0,14,14,8,12,11,0,3,6,0,0,0,0,0,2,3,1,4,6,8,0,2,0,0,7,0,7,2,0,11,6,12,12,6,0,0,4,14,6,12,3,2,1,11,12,11,2,3,0,2,2,12,12,12,5,0,5,4,14,12,12,8,0,1,14,0,14,12,0,2,4,6,0,0,14,6,0,1,14,14,14,4,12,0,8,11,14,14,14,14,8,8,10,10,10,10,0,0,0
Gîte les Mélèzes,0,0,0,0,0,0,0,0,0,0,0,8,10,1,4,2,5,0,3,3,0,4,3,2,0,5,3,4,4,1,0,0,5,0,0,2,0,1,0,4,0,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,4,0,2,6,0,6,10,2,0,0,4,0,6,1,0,0,0,6,0,1,7,3,0,4,5,0,4,4,2,5,0,0,0,5,0,0,0,4,0,0,10,6,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gîte le Pontet,72,72,69,72,68,60,43,67,58,72,70,64,49,43,17,31,62,49,52,27,23,13,23,70,54,40,28,32,14,9,7,39,28,8,18,2,21,42,37,58,30,20,14,2,57,35,7,8,0,18,4,35,48,56,66,23,7,27,70,22,28,34,14,8,7,39,49,30,57,22,16,24,65,38,46,38,32,5,33,53,59,37,38,18,40,29,61,45,56,52,36,37,16,39,25,36,49,17,8,34,72,56,58,48,57,41,45,72,72,48,66,72,72,70,72,72,72,72,72,72
Refuge de Nant Borrant,0,0,0,0,10,10,10,9,8,10,9,4,10,6,3,2,1,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,2,5,0,1,7,0,2,5,0,0,4,0,0,3,0,0,0,1,10,0,2,10,0,0,6,5,3,0,2,2,0,4,5,8,3,2,4,0,1,1,7,0,0,0,0,0,0,3,5,4,0,0,1,0,0,8,10,7,8,10,10,10,10,10,10,0,0,0,0,0,0,0
Refuge des Prés,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16,2,13,8,16,7,1,16,16,11,10,6,5,5,0,5,9,1,12,8,10,6,0,0,0,4,1,12,8,0,8,9,4,6,11,16,6,12,16,14,0,3,16,9,4,15,12,11,8,10,6,13,14,16,14,7,4,16,16,16,16,16,3,7,8,2,14,2,14,2,8,10,12,16,16,9,0,16,6,4,14,14,16,14,16,12,14,0,7,16,0,12,16,9,16,16,16,16,16,16,16,16,16,16,16,16
Refuge de la Balme,0,0,0,0,0,0,0,0,0,0,0,0,34,20,8,6,19,31,26,23,11,0,8,18,16,22,9,1,0,1,25,1,22,1,1,0,2,0,0,0,0,0,7,15,21,5,32,0,2,26,13,17,15,0,28,8,10,9,15,19,16,12,4,23,8,20,18,24,4,30,5,6,14,28,27,25,31,1,9,20,15,17,34,17,19,18,15,32,33,0,12,28,8,20,12,27,30,28,0,25,20,25,21,15,16,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
