,2025-06-01,2025-06-02,2025-06-03,2025-06-04,2025-06-05,2025-06-06,2025-06-07,2025-06-08,2025-06-09,2025-06-10,2025-06-11,2025-06-12,2025-06-13,2025-06-14,2025-06-15,2025-06-16,2025-06-17,2025-06-18,2025-06-19,2025-06-20,2025-06-21,2025-06-22,2025-06-23,2025-06-24,2025-06-25,2025-06-26,2025-06-27,2025-06-28,2025-06-29,2025-06-30,2025-07-01,2025-07-02,2025-07-03,2025-07-04,2025-07-05,2025-07-06,2025-07-07,2025-07-08,2025-07-09,2025-07-10,2025-07-11,2025-07-12,2025-07-13,2025-07-14,2025-07-15,2025-07-16,2025-07-17,2025-07-18,2025-07-19,2025-07-20,2025-07-21,2025-07-22,2025-07-23,2025-07-24,2025-07-25,2025-07-26,2025-07-27,2025-07-28,2025-07-29,2025-07-30,2025-07-31,2025-08-01,2025-08-02,2025-08-03,2025-08-04,2025-08-05,2025-08-06,2025-08-07,2025-08-08,2025-08-09,2025-08-10,2025-08-11,2025-08-12,2025-08-13,2025-08-14,2025-08-15,2025-08-16,2025-08-17,2025-08-18,2025-08-19,2025-08-20,2025-08-21,2025-08-22,2025-08-23,2025-08-24,2025-08-25,2025-08-26,2025-08-27,2025-08-28,2025-08-29,2025-08-30,2025-08-31,2025-09-01,2025-09-02,2025-09-03,2025-09-04,2025-09-05,2025-09-06,2025-09-07,2025-09-08,2025-09-09,2025-09-10,2025-09-11,2025-09-12,2025-09-13,2025-09-14,2025-09-15,2025-09-16,2025-09-17,2025-09-18,2025-09-19,2025-09-20,2025-09-21,2025-09-22,2025-09-23,2025-09-24,2025-09-25,2025-09-26,2025-09-27,2025-09-28
Chalet Les Méandres (ex Tupilak),30,30,30,30,30,30,30,30,30,30,30,30,26,23,30,30,30,29,30,30,25,19,30,30,0,0,0,0,0,0,33,35,33,35,31,29,35,33,35,32,33,33,24,35,35,35,35,35,34,31,29,28,30,29,35,35,35,33,35,33,35,35,35,35,35,35,35,35,35,33,29,33,32,35,35,32,30,28,35,32,35,34,35,33,33,33,33,32,35,29,30,35,29,35,35,35,35,35,31,31,35,35,35,35,35,35,31,35,35,30,33,35,35,35,35,35,35,35,35,35
Gîte Michel Fagot,0,0,0,0,0,0,25,27,27,27,27,25,24,27,27,25,24,25,22,27,27,23,23,26,24,19,20,21,27,18,20,27,27,25,23,20,23,27,17,18,25,20,25,22,23,22,27,25,26,25,27,23,27,23,27,26,27,19,22,27,19,25,27,21,21,27,24,27,27,27,27,21,24,19,26,25,26,23,27,27,21,27,27,18,24,24,27,23,25,24,27,26,21,25,25,27,27,27,27,27,27,25,27,23,23,27,27,27,27,27,27,25,27,27,27,27,27,27,0,0
Refuge du Fioux,22,22,22,22,20,20,22,22,22,22,22,22,20,9,5,16,22,22,22,12,10,22,22,22,16,11,22,7,7,22,3,20,20,22,9,20,21,15,18,15,22,9,2,18,19,9,22,22,22,12,20,14,15,22,19,6,3,19,16,22,22,22,8,22,22,22,22,22,22,0,0,20,22,22,10,20,22,22,22,22,22,18,21,0,5,22,22,22,18,20,9,22,19,22,22,20,20,9,9,20,22,22,19,15,0,7,22,22,22,22,22,22,0,0,0,0,0,0,0,0
Auberge du Truc,0,0,0,0,0,0,0,0,0,15,15,15,15,15,15,7,15,14,13,13,1,4,14,4,15,11,15,14,12,6,1,13,11,8,10,1,3,6,11,6,11,6,10,10,3,9,7,8,0,14,13,6,15,13,11,15,14,9,13,8,14,0,13,15,10,13,15,15,13,8,8,12,2,15,15,10,15,11,9,10,13,13,15,15,13,9,13,14,15,4,15,13,15,4,15,11,10,15,6,8,8,15,15,15,15,15,15,13,8,0,0,0,0,0,0,0,0,0,0,0
La Ferme à Piron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,12,14,12,14,0,2,14,14,8,12,14,0,3,12,0,6,0,0,4,0,12,2,8,6,12,0,2,0,11,7,0,11,2,0,13,6,12,13,14,0,0,6,14,6,12,9,3,6,14,14,14,2,6,0,4,11,12,13,12,5,0,6,6,14,14,14,8,0,4,14,0,14,14,0,4,4,12,0,14,14,10,0,1,14,14,14,14,14,0,8,12,14,14,14,14,8,8,10,10,10,10,10,10,0
Gîte les Mélèzes,0,0,0,0,0,0,0,0,0,0,0,10,10,3,0,4,7,0,7,3,2,0,9,2,0,6,5,4,0,2,0,0,5,0,0,0,0,1,0,4,0,0,0,0,2,10,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,1,4,0,0,6,0,6,0,2,0,1,6,0,10,1,0,0,1,6,0,5,9,3,0,8,8,0,4,6,4,5,0,2,0,5,0,3,0,8,6,0,10,8,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gîte le Pontet,72,72,72,72,72,60,60,70,58,72,72,72,54,56,17,34,72,72,72,29,27,17,23,70,68,40,36,43,25,17,45,64,48,11,27,13,28,56,40,70,43,26,20,2,63,59,16,16,0,18,21,37,48,56,66,23,13,29,70,34,44,54,16,8,18,40,70,46,64,25,19,29,71,60,58,50,42,19,33,57,71,57,42,23,47,29,67,60,72,52,36,41,20,44,45,60,54,28,10,44,72,72,70,49,70,41,45,72,72,60,66,72,72,70,72,72,72,72,72,72
Refuge de Nant Borrant,0,0,0,0,10,10,10,10,10,7,10,8,10,10,0,0,6,6,0,2,3,0,0,8,3,0,0,0,4,0,0,0,0,2,0,0,0,0,2,0,0,6,2,0,6,6,2,2,8,6,0,1,6,10,2,9,0,0,6,0,0,0,0,0,0,9,5,9,0,10,0,0,10,7,0,0,2,2,0,6,6,1,7,6,5,2,4,10,10,8,0,0,0,0,0,5,5,2,0,0,4,1,4,8,10,10,1,10,10,10,10,10,10,0,0,0,0,0,0,0
Refuge des Prés,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,8,16,13,16,12,1,16,16,16,10,16,5,12,10,14,11,1,12,12,12,6,1,6,0,12,13,16,8,9,8,16,7,16,16,16,16,14,16,14,1,13,14,9,13,14,16,14,9,13,14,13,16,16,14,14,0,16,16,16,16,16,3,15,13,6,16,2,16,4,8,12,14,16,16,16,2,16,6,10,14,16,16,14,16,12,14,1,10,16,0,16,16,9,16,16,16,16,16,16,16,16,16,16,16,16
Refuge de la Balme,0,0,0,0,0,0,0,0,0,0,0,0,38,34,19,29,30,34,32,36,30,23,36,30,32,31,21,8,18,26,33,7,31,20,29,8,25,13,20,29,10,23,17,34,21,26,36,19,24,28,21,26,23,27,33,21,28,17,19,30,32,28,13,29,27,26,36,29,30,34,18,30,30,31,37,32,34,14,21,25,28,27,38,21,29,32,23,38,37,0,28,28,17,26,18,37,31,28,16,35,24,38,31,25,38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Auberge-Refuge de la Nova,0,0,0,0,0,33,59,59,33,27,45,39,16,47,32,0,13,33,21,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,12,2,4,0,1,0,0,0,0,3,0,0,7,3,23,15,7,0,19,8,8,26,6,0,0,0,0,0,0,0,0,0,3,4,20,28,23,4,33,35,46,33,49,49,48,47,61,61,31,0,0
Les Chambres du Soleil,29,29,29,26,0,20,16,16,27,16,22,0,16,16,23,6,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,0,0,0,0,0,0,1,0,0,0,0,7,0,7,17,3,5,0,29,21,29,27,29,0,29,29,29
Refuge des Mottets,0,0,0,0,0,0,0,0,0,14,14,10,12,14,8,6,10,8,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,4,0,4,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,6,10,6,10,10,0,0,0,0,0,0,0,0
Gîte Mermoud,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,6,0,10,6,0,5,10,10,0,10,0,0,9,10,10,0,8,10,0,6,6,10,0,1,10,0,8,6,10,0,6,8,0,6,10,10,0,4,10,0,5,10,10,0,10,10,0,10,10,10,10,10,10,0,10,6,10,0,10,7,0,8,10,10,0,10,10,0,10,10,2,0,10,10,0,10,0,10,0,10,9,0,6,0,10,0,10,10,0,10,10,10,0,10,10,10,10
Gîte d'Alpage Les Ecuries de Charamillon,0,0,0,0,0,0,19,19,19,19,19,19,19,19,19,19,19,15,19,19,19,19,19,8,19,15,16,19,19,19,19,19,3,14,9,17,19,19,15,19,5,15,14,19,16,15,12,19,17,17,19,11,16,19,19,13,17,19,19,17,14,19,19,16,14,19,17,6,19,19,19,19,14,19,19,19,19,19,17,19,16,19,17,19,9,14,19,16,19,19,19,19,19,9,19,19,17,13,9,19,19,19,19,11,19,19,19,19,14,19,19,19,0,0,0,0,0,0,0,0
Gîte Le Moulin,10,10,10,10,10,10,10,10,10,3,5,5,5,5,5,5,5,5,4,3,3,5,0,0,0,1,1,0,0,3,6,5,6,7,2,0,6,6,6,0,0,0,0,7,9,7,10,5,0,0,8,8,6,7,8,2,0,8,7,5,10,4,6,1,6,5,7,0,0,0,0,2,1,0,3,4,0,3,1,1,1,4,0,1,0,1,1,1,1,1,1,4,4,0,7,3,1,1,0,7,0,5,6,1,1,2,14,14,10,14,9,5,3,5,14,14,14,14,14,14
Auberge la Boërne,1,0,33,33,33,33,33,33,33,30,33,33,33,33,19,33,16,29,8,14,27,8,27,19,28,8,21,25,6,20,18,12,9,10,19,16,26,2,0,0,0,0,14,25,14,27,11,22,26,20,17,7,22,0,20,2,3,15,10,4,0,15,30,17,0,22,22,2,3,11,25,29,1,31,13,17,19,17,23,16,12,17,8,28,30,13,26,17,17,15,22,24,26,28,32,11,18,24,17,19,10,2,4,14,23,25,29,31,31,19,27,33,33,33,21,33,19,33,33,33
Cabane du Combal,0,0,0,0,0,0,0,0,0,0,0,0,18,20,18,0,7,9,4,3,13,3,1,0,6,8,1,5,9,0,8,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,2,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,4,0,0,7,0,10,11,2,0,8,8,0,2,2,0,9,3,8,0,0,0,0,0,0,0,0,5,13,22,12,20,19,0,0,0,0,0,0,0,0,0,0,0,0,0
Rifugio Maison Vieille,0,0,0,0,0,0,0,0,40,38,25,36,40,40,40,34,25,20,19,40,36,33,29,5,5,24,35,30,28,22,24,2,29,22,8,8,16,11,2,18,5,8,25,3,0,15,29,10,29,38,10,16,9,11,18,23,35,14,21,0,25,40,8,25,18,8,0,32,17,40,39,30,14,1,38,38,37,28,26,0,6,33,40,33,38,3,35,22,26,1,39,30,28,22,0,8,15,40,40,34,10,18,40,38,40,40,34,12,23,40,40,40,40,0,0,0,0,0,0,0
Gite le Randonneur du Mont Blanc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,30,24,22,30,20,27,23,27,30,30,30,30,22,21,17,30,18,18,30,18,11,28,18,20,24,30,30,13,3,26,20,28,30,24,17,20,30,30,28,30,26,13,6,20,30,29,30,20,13,4,15,27,28,28,28,13,20,21,26,29,30,25,18,11,26,33,26,28,17,16,20,24,29,22,30,21,13,26,30,26,28,30,23,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rifugio Monte Bianco CAI Uget,60,60,48,27,60,60,60,34,46,46,0,42,60,60,46,44,12,0,9,50,32,32,12,0,0,5,38,26,42,46,0,0,2,27,27,34,38,0,0,5,13,26,46,33,0,0,4,28,11,33,38,0,0,5,27,23,56,37,0,0,5,7,42,48,36,5,0,3,18,28,60,25,0,0,9,0,0,14,6,2,0,8,48,30,60,37,10,7,13,50,32,46,52,18,5,12,49,32,46,23,0,0,10,49,32,41,36,8,0,16,50,46,46,46,46,25,46,0,0,0
Rifugio G. Bertone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,41,30,42,46,13,45,26,33,9,17,44,31,37,25,36,21,42,40,17,21,12,41,20,4,23,13,9,26,34,28,7,33,20,27,24,42,32,0,44,3,0,23,46,26,0,42,23,32,16,44,32,5,9,11,12,46,40,33,3,41,23,15,21,38,25,18,39,12,29,11,6,31,6,23,0,13,22,44,30,7,29,31,24,46,27,15,0,21,17,15,24,29,18,3,31,19,17,0,0,0,0,0,0,0,0
