,2025-06-01,2025-06-02,2025-06-03,2025-06-04,2025-06-05,2025-06-06,2025-06-07,2025-06-08,2025-06-09,2025-06-10,2025-06-11,2025-06-12,2025-06-13,2025-06-14,2025-06-15,2025-06-16,2025-06-17,2025-06-18,2025-06-19,2025-06-20,2025-06-21,2025-06-22,2025-06-23,2025-06-24,2025-06-25,2025-06-26,2025-06-27,2025-06-28,2025-06-29,2025-06-30,2025-07-01,2025-07-02,2025-07-03,2025-07-04,2025-07-05,2025-07-06,2025-07-07,2025-07-08,2025-07-09,2025-07-10,2025-07-11,2025-07-12,2025-07-13,2025-07-14,2025-07-15,2025-07-16,2025-07-17,2025-07-18,2025-07-19,2025-07-20,2025-07-21,2025-07-22,2025-07-23,2025-07-24,2025-07-25,2025-07-26,2025-07-27,2025-07-28,2025-07-29,2025-07-30,2025-07-31,2025-08-01,2025-08-02,2025-08-03,2025-08-04,2025-08-05,2025-08-06,2025-08-07,2025-08-08,2025-08-09,2025-08-10,2025-08-11,2025-08-12,2025-08-13,2025-08-14,2025-08-15,2025-08-16,2025-08-17,2025-08-18,2025-08-19,2025-08-20,2025-08-21,2025-08-22,2025-08-23,2025-08-24,2025-08-25,2025-08-26,2025-08-27,2025-08-28,2025-08-29,2025-08-30,2025-08-31,2025-09-01,2025-09-02,2025-09-03,2025-09-04,2025-09-05,2025-09-06,2025-09-07,2025-09-08,2025-09-09,2025-09-10,2025-09-11,2025-09-12,2025-09-13,2025-09-14,2025-09-15,2025-09-16,2025-09-17,2025-09-18,2025-09-19,2025-09-20,2025-09-21,2025-09-22,2025-09-23,2025-09-24,2025-09-25,2025-09-26,2025-09-27,2025-09-28
Chalet Les Méandres (ex Tupilak),30,30,30,30,30,30,30,30,30,30,27,29,26,19,28,21,30,24,30,28,18,19,24,30,0,0,0,0,0,0,32,30,31,35,27,19,27,28,31,30,33,29,24,35,34,25,31,35,32,31,27,28,26,26,33,35,35,32,35,32,35,35,35,33,35,32,35,33,33,29,29,31,32,33,33,32,25,28,35,30,33,30,31,28,33,33,29,27,29,29,26,34,24,35,31,35,33,32,24,25,24,31,35,35,35,34,29,35,35,30,33,35,31,35,35,35,35,35,35,35
Gîte Michel Fagot,0,0,0,0,0,0,22,25,27,27,25,25,24,26,21,14,16,25,17,27,22,21,12,23,15,8,13,21,17,15,17,26,17,20,19,12,6,22,12,16,21,18,20,16,17,19,24,23,14,19,18,21,26,23,16,20,21,14,20,23,18,24,25,13,16,26,14,25,20,18,25,20,21,18,26,25,22,21,22,24,16,25,27,22,24,22,21,14,23,20,19,26,19,16,25,25,27,21,27,25,23,21,27,24,26,16,27,25,27,31,27,25,27,27,27,27,27,27,0,0
Refuge du Fioux,22,22,22,20,20,20,21,22,22,21,20,22,16,9,4,12,19,16,19,2,7,11,15,3,16,0,21,7,7,20,2,15,15,22,0,20,21,15,18,9,22,9,2,18,13,6,14,16,20,10,20,14,15,22,19,3,3,19,16,14,16,22,3,22,19,21,22,14,19,0,0,20,20,20,10,20,18,22,21,17,19,17,18,0,3,20,22,20,17,17,9,18,19,22,22,18,20,6,4,20,22,8,18,15,0,7,22,22,22,22,22,15,0,0,0,0,0,0,0,0
Auberge du Truc,0,0,0,0,0,0,0,0,0,15,15,0,8,0,2,0,15,14,14,9,3,3,6,1,13,12,18,15,10,2,2,7,15,0,14,11,2,14,3,11,12,13,3,0,8,6,1,0,5,8,19,7,25,11,4,0,23,14,14,5,13,0,6,18,8,5,4,13,17,1,11,15,0,18,9,7,20,16,3,6,20,15,22,10,5,13,11,11,0,0,19,14,0,0,2,4,6,15,0,4,0,11,7,11,15,15,15,11,8,0,0,0,0,0,0,0,0,0,0,0
La Ferme à Piron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,12,12,12,0,0,9,14,0,12,9,0,3,6,0,0,0,0,0,2,1,1,2,4,6,0,1,0,0,7,0,5,2,0,5,6,12,12,6,0,0,0,14,6,12,3,2,1,9,12,11,2,3,0,2,2,12,12,12,5,0,5,2,11,12,10,8,0,1,14,0,14,12,0,2,4,4,0,0,14,2,0,0,14,14,8,4,12,0,8,11,14,14,14,14,8,8,10,10,10,0,0,0,0
Gîte les Mélèzes,0,0,0,0,0,0,0,0,0,0,0,8,10,1,4,2,5,0,0,1,0,4,1,2,0,0,3,1,4,1,0,0,2,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,6,0,1,6,2,0,0,4,0,6,1,0,0,0,6,0,1,7,3,0,2,5,0,0,4,2,3,0,0,0,3,0,0,0,4,0,0,8,6,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gîte le Pontet,72,72,69,72,68,60,43,67,54,72,68,61,49,43,17,28,58,50,52,27,23,12,17,64,23,38,31,29,0,5,4,35,28,4,11,2,17,30,37,50,20,10,4,0,61,35,6,0,0,13,2,25,51,55,65,21,7,22,66,20,26,30,6,8,7,32,45,30,47,22,16,19,63,38,46,36,30,5,33,53,59,37,31,18,40,27,59,45,56,29,31,37,15,39,15,36,49,17,6,28,70,54,56,48,57,41,45,70,72,48,63,72,72,70,72,72,72,72,72,72
Refuge de Nant Borrant,0,0,0,0,10,10,10,10,10,10,9,6,9,4,6,2,2,0,0,4,0,0,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1,0,0,4,0,0,2,5,4,0,2,3,0,0,4,4,0,4,0,2,2,0,0,0,0,0,0,0,5,0,2,4,0,0,6,1,1,0,2,0,0,4,5,8,1,4,4,0,1,3,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0,8,7,8,10,10,10,6,8,10,0,0,0,0,0,0,0
Refuge des Prés,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,11,8,16,5,1,16,16,10,10,6,5,1,0,1,9,1,12,6,8,6,0,0,0,1,1,12,0,0,6,9,4,6,11,14,8,8,16,6,0,3,14,9,4,15,12,11,6,6,4,13,10,10,11,7,4,12,16,16,16,16,3,7,8,2,14,2,10,2,8,10,12,16,16,2,0,13,6,4,12,13,16,10,11,9,14,0,7,14,0,12,13,9,16,13,8,8,16,16,16,16,16,16,16,16
Refuge de la Balme,0,0,0,0,0,0,0,0,0,0,0,0,15,20,5,5,14,31,26,20,4,0,6,4,16,2,8,1,0,1,10,1,10,1,21,4,0,0,0,0,0,0,7,15,16,0,14,7,0,17,9,11,15,1,17,17,8,1,13,10,15,5,5,21,8,18,7,19,2,24,1,6,12,26,25,5,27,1,7,18,10,17,13,15,18,4,12,30,33,0,10,28,6,20,6,22,26,26,0,25,14,21,21,7,14,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
